City,Colors,Shape,State,Time,Month,Day,Year
Ithaca,,TRIANGLE,NY,6/1/1930 22:00,6,1,1930
Willingboro,,OTHER,NJ,6/30/1930 20:00,6,30,1930
Holyoke,,OVAL,CO,2/15/1931 14:00,2,15,1931
Abilene,,DISK,KS,6/1/1931 13:00,6,1,1931
New York Worlds Fair,,LIGHT,NY,4/18/1933 19:00,4,18,1933
Valley City,,DISK,ND,9/15/1934 15:30,9,15,1934
Crater Lake,,CIRCLE,CA,6/15/1935 0:00,6,15,1935
Alma,,DISK,MI,7/15/1936 0:00,7,15,1936
Eklutna,,CIGAR,AK,10/15/1936 17:00,10,15,1936
Hubbard,,CYLINDER,OR,6/15/1937 0:00,6,15,1937
Fontana,,LIGHT,CA,8/15/1937 21:00,8,15,1937
Waterloo,,FIREBALL,AL,6/1/1939 20:00,6,1,1939
Belton,RED,SPHERE,SC,6/30/1939 20:00,6,30,1939
Keokuk,,OVAL,IA,7/7/1939 2:00,7,7,1939
Ludington,,DISK,MI,6/1/1941 13:00,6,1,1941
Forest Home,,CIRCLE,CA,7/2/1941 11:30,7,2,1941
Los Angeles,,,CA,2/25/1942 0:00,2,25,1942
Hapeville,,,GA,6/1/1942 22:30,6,1,1942
Oneida,,RECTANGLE,TN,7/15/1942 1:00,7,15,1942
Bering Sea,RED,OTHER,AK,4/30/1943 23:00,4,30,1943
Nebraska,,DISK,NE,6/1/1943 15:00,6,1,1943
,,,LA,8/15/1943 0:00,8,15,1943
,,LIGHT,LA,8/15/1943 0:00,8,15,1943
Owensboro,,RECTANGLE,KY,10/15/1943 11:00,10,15,1943
Wilderness,,DISK,WV,1/1/1944 10:00,1,1,1944
San Diego,,CIGAR,CA,1/1/1944 12:00,1,1,1944
Wilderness,,DISK,WV,1/1/1944 12:00,1,1,1944
Clovis,,DISK,NM,4/2/1944 11:00,4,2,1944
Los Alamos,,DISK,NM,6/1/1944 12:00,6,1,1944
Ft. Duschene,,DISK,UT,6/30/1944 10:00,6,30,1944
South Kingstown,,SPHERE,RI,7/1/1944 20:00,7,1,1944
North Tampa,,CYLINDER,FL,7/15/1944 13:00,7,15,1944
Ft. Lee,,CIGAR,VA,1/1/1945 12:00,1,1,1945
Salinas AFB,,DISK,CA,6/1/1945 12:00,6,1,1945
Jasper,,FIREBALL,FL,6/1/1945 13:30,6,1,1945
Winston-Salem,,DISK,NC,6/7/1945 7:00,6,7,1945
Portsmouth,RED,FORMATION,VA,7/10/1945 1:30,7,10,1945
Dallas,,SPHERE,TX,7/15/1945 14:00,7,15,1945
Huntington Beach,,DISK,CA,8/8/1945 12:00,8,8,1945
San Antonio,,OVAL,NM,8/16/1945 11:30,8,16,1945
Roswell,,SPHERE,NM,12/15/1945 2:00,12,15,1945
New York City,,DISK,NY,1/8/1946 2:00,1,8,1946
Merced,,SPHERE,CA,2/1/1946 17:00,2,1,1946
Alice,,DISK,TX,3/15/1946 15:30,3,15,1946
Blairsden,GREEN,SPHERE,CA,6/30/1946 19:00,6,30,1946
Index,,FIREBALL,WA,6/30/1946 21:00,6,30,1946
South Portland,,OVAL,ME,7/1/1946 13:30,7,1,1946
Oak Lawn,,FORMATION,IL,9/12/1946 0:00,9,12,1946
Dome,,FLASH,AZ,9/30/1946 20:30,9,30,1946
Conroe,,OTHER,TX,1/10/1947 20:00,1,10,1947
Syracuse,,DISK,NY,2/20/1947 22:15,2,20,1947
Miami,,OTHER,FL,4/15/1947 14:00,4,15,1947
San Deigo,,TRIANGLE,CA,4/15/1947 23:00,4,15,1947
Minden,,,LA,6/1/1947 0:00,6,1,1947
Cleveland,,LIGHT,OH,6/1/1947 2:30,6,1,1947
Espanola,,CIRCLE,NM,6/1/1947 17:00,6,1,1947
Oroville,,,CA,6/1/1947 18:00,6,1,1947
Oakmont,,,PA,6/13/1947 20:18,6,13,1947
Winona,,DISK,MN,6/15/1947 10:00,6,15,1947
Gackle,,OTHER,ND,6/15/1947 14:00,6,15,1947
Madison,,DISK,WI,6/15/1947 18:00,6,15,1947
Hayward,,CIRCLE,CA,6/20/1947 12:00,6,20,1947
Tacoma,,OTHER,WA,6/30/1947 0:00,6,30,1947
Baltimore,,OVAL,MD,6/30/1947 18:00,6,30,1947
Cashmere,,FORMATION,WA,7/1/1947 20:00,7,1,1947
Maywood,,DISK,CA,7/1/1947 20:00,7,1,1947
Wexford,BLUE,,PA,7/1/1947 20:00,7,1,1947
Sioux Falls,,,SD,7/4/1947 0:00,7,4,1947
Seattle,,OVAL,WA,7/4/1947 17:30,7,4,1947
Dell Rapids,,,SD,7/5/1947 0:00,7,5,1947
Philadelphia,,DISK,PA,7/5/1947 11:30,7,5,1947
