id,Year,Name,Position,HeightFeet,HeightInches,Weight,Arms,Hands,FortyYD,TwentyYD,TenYD,TwentySS,ThreeCone,Vertical,Broad,Bench,Round,College,Pick,PickRound,PickTotal,FirstName,LastName,HeightInchesTotal,Wonderlic
8984,2013,Quanterus Smith,DE,6,5,250,33.25,10.375,0,0,0,0,0,0,0,0,5,Western Kentucky,13(146),13,146,Quanterus,Smith,77,0
9002,2013,Abry Jones,DT,6,3,313,35,9.75,0,0,0,0,0,26.5,101,30,0,,,0,0,Abry,Jones,75,0
9004,2013,Bennie Logan,DT,6,2,309,34,10.25,0,0,0,4.67,7.53,25,104,30,3,LSU,5(67),5,67,Bennie,Logan,74,0
9012,2013,John Boyett,FS,5,10,204,30.5,8.5,0,0,0,0,0,0,0,27,6,Oregon,24(192),24,192,John,Boyett,70,0
9018,2013,Bacarri Rambo,FS,6,0,211,31,9.25,0,0,0,0,0,0,0,17,6,Georgia,23(191),23,191,Bacarri,Rambo,72,0
9028,2013,Michael Mauti,ILB,6,2,243,32.5,10.5,0,0,0,0,0,0,0,28,7,Penn State,7(213),7,213,Michael,Mauti,74,0
9037,2013,Khaled Holmes,OC,6,3,302,35,10.25,0,0,0,0,0,0,0,13,4,USC,24(121),24,121,Khaled,Holmes,75,0
9043,2013,Zach Allen,OG,6,2,332,33.5,9.875,0,0,0,0,0,0,0,32,0,,,0,0,Zach,Allen,74,0
9058,2013,Brian Winters,OG,6,4,320,32.75,9.75,0,0,0,0,0,0,0,9,3,Kent State,10(72),10,72,Brian,Winters,76,0
9064,2013,Jelani Jenkins,OLB,6,0,243,32.25,9.375,0,0,0,0,0,0,0,27,4,Florida,7(104),7,104,Jelani,Jenkins,72,0
9083,2013,Chris Faulk,OT,6,5,331,34.25,9.625,0,0,0,0,0,0,0,25,0,,,0,0,Chris,Faulk,77,0
9086,2013,Manase Foketi,OT,6,5,318,34.5,10.625,0,0,0,5.06,8.11,23.5,102,25,0,,,0,0,Manase,Foketi,77,0
9095,2013,Luke Marquardt,OT,6,8,315,34.5,10.25,0,0,0,0,0,0,0,31,0,,,0,0,Luke,Marquardt,80,0
9107,2013,Zac Dysert,QB,6,3,231,32.625,9.125,0,0,0,0,0,0,0,0,7,Miami (OH),28(234),28,234,Zac,Dysert,75,0
9140,2013,Marcus Lattimore,RB,5,11,221,32.5,9.875,0,0,0,0,0,0,0,0,4,South Carolina,34(131),34,131,Marcus,Lattimore,71,0
